_id,source,category,collected_at,data.country,data.year,data.value,data.indicator
698849ea33f15a5559beb00e,who,health,2026-02-08 08:31:38.338,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
698849ea33f15a5559beb00f,who,health,2026-02-08 08:31:38.338,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
698849ea33f15a5559beb010,who,health,2026-02-08 08:31:38.339,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
69884e4e040e828d4f0695a2,who,health,2026-02-08 08:50:22.669,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
69884e4e040e828d4f0695a3,who,health,2026-02-08 08:50:22.671,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
69884e4e040e828d4f0695a4,who,health,2026-02-08 08:50:22.672,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
69884e4e040e828d4f0695a5,who,health,2026-02-08 08:50:22.673,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
69884e4e040e828d4f0695a6,who,health,2026-02-08 08:50:22.673,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
6988532009fb3a0cf3cb5073,who,health,2026-02-08 09:10:56.038,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
6988532009fb3a0cf3cb5074,who,health,2026-02-08 09:10:56.039,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
6988532009fb3a0cf3cb5075,who,health,2026-02-08 09:10:56.039,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
6988532009fb3a0cf3cb5076,who,health,2026-02-08 09:10:56.039,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
6988532009fb3a0cf3cb5077,who,health,2026-02-08 09:10:56.040,CYP,2003,76.9 [76.7-77.2],WHOSIS_000001
69885d7c33f15a5559beb186,who,health,2026-02-08 09:55:08.645,SOM,2008,48.0 [46.7-49.6],WHOSIS_000001
69885d7c33f15a5559beb187,who,health,2026-02-08 09:55:08.646,BTN,2002,67.8 [67.1-68.6],WHOSIS_000001
69885d7c33f15a5559beb188,who,health,2026-02-08 09:55:08.646,BHR,2011,75.2 [75.1-75.4],WHOSIS_000001
69885d7c33f15a5559beb189,who,health,2026-02-08 09:55:08.646,SAU,2005,73.1 [72.8-73.5],WHOSIS_000001
