doc_id,topic,topic_words,keywords
6986ec47f034bb44a450be74,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6986ec47f034bb44a450be75,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6986ec47f034bb44a450be76,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6986f2b5ed165caad0ca1954,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6986f2b5ed165caad0ca1955,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6986f2b5ed165caad0ca1956,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6986f2b5ed165caad0ca1957,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6986f2b5ed165caad0ca1958,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
698713429a886ea5c92a21d5,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
698713429a886ea5c92a21d6,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
698713429a886ea5c92a21d7,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
698713429a886ea5c92a21d8,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
698713429a886ea5c92a21d9,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987144431432274cbae8951,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987144431432274cbae8952,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987144431432274cbae8953,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987144431432274cbae8954,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987144431432274cbae8955,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987175badcc4cedb83b8223,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987175badcc4cedb83b8224,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987175badcc4cedb83b8225,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987175badcc4cedb83b8226,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987175badcc4cedb83b8227,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
69876fa56ea3ff3909394dd4,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
69876fa56ea3ff3909394dd5,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
69876fa56ea3ff3909394dd6,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
69876fa56ea3ff3909394dd7,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
69876fa56ea3ff3909394dd8,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
69878e803969323ad5ae2408,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
69878e803969323ad5ae2409,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
69878e803969323ad5ae240a,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
69878e803969323ad5ae240b,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
69878e803969323ad5ae240c,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
698790715801f732d72f3639,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
698790715801f732d72f363a,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
698790715801f732d72f363b,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
698790715801f732d72f363c,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
698790715801f732d72f363d,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
698790a3ade8e421ee7f90ff,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
698790a3ade8e421ee7f9100,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
698790a3ade8e421ee7f9101,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
698790a3ade8e421ee7f9102,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
698790a3ade8e421ee7f9103,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
698796332207b8455f9751ca,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
698796332207b8455f9751cb,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
698796332207b8455f9751cc,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
698796332207b8455f9751cd,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
698796332207b8455f9751ce,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987a06290a4309fa7ce6c4d,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987a06290a4309fa7ce6c4e,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987a06290a4309fa7ce6c4f,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987a06290a4309fa7ce6c50,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987a06290a4309fa7ce6c51,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987a0e8d6f9797808ba96c6,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987a0e8d6f9797808ba96c7,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987a0e8d6f9797808ba96c8,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987a0e8d6f9797808ba96c9,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987a0e8d6f9797808ba96ca,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987af16d6f9797808ba9826,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987af16d6f9797808ba9827,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987af16d6f9797808ba9828,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987af16d6f9797808ba9829,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987af16d6f9797808ba982a,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
6987b153fe85256b790730f3,", , ",", , , , , , , , , ","台東卑南規模, 地震保險基金呼籲投保地震險"
6987b153fe85256b790730f4,", , ",", , , , , , , , , ","戴立忍新片, 圓武俠夢 體力比柯震東好, 圓武俠夢, 體力比柯震東好"
6987b153fe85256b790730f5,"921, , ","921, , , , , , , , , ","太像了 消防局籲備妥, 新竹市民, 強震搖晃感跟, 避難包, 太像了"
6987b153fe85256b790730f6,"kbrs, afet, afmer","kbrs, afet, afmer, ubatta, son, kuruldu, kktc, haberleri, haber, gndem","afmer kuruldu bilimsel, bilimsel afet yönetimi, dakika gündem haberleri, şubatta başlıyor kıbrıs, kuruldu bilimsel afet"
6987b153fe85256b790730f7,"1494, , ","1494, , , , , , , , , ","落石如籃球大 雲林草嶺, 乙線建明隧道拚, 落石如籃球大, 雲林草嶺, 月底前完工"
